Ime,Obdobje,Narodnost,Smer,Kraj 
"SACCHI, Andrea",Baroque,Italian,painter,Rome
"ROSSELLINO, Antonio",Early Renaissance,Italian,sculptor,Florence
"SARAZIN, Jacques",Baroque,French,sculptor,
"PERANDA, Sante",Baroque,Italian,painter,Venice
"JACQUAND, Claudius",Romanticism,French,painter,
"MACHUCA, Pedro",High Renaissance,Spanish,architect,Granada
PENSIONANTE DEL SARACENI,Baroque,French,painter,Rome
"VERHAGHEN, Pieter Jozef",Rococo,Flemish,painter,
"RIGAUD, John Francis",Rococo,French,painter,London
"DUBOIS-PILLET, Albert",Impressionism,French,painter,
"LAURI, Pietro",Baroque,French,painter,Bologna
"LAJOUE, Jacques de",Baroque,French,painter,Paris
"BALASSI, Mario",Baroque,Italian,painter,Florence
"ZEILLER, Jakob Johann",Rococo,German,painter,
"POUSSIN, Nicolas",Baroque,French,painter,Rome
"MIELICH, Hans",Northern Renaissance,German,painter,Munich
"VERHULST, Rombout",Baroque,Flemish,sculptor,Mechelen
THEOPHANES the Cretan,Medieval,Greek,painter,Crete
"POMPEI, Alessandro, Conte",Baroque,Italian,architect,
"BERGEN, Dirk van",Baroque,Dutch,painter,
"BAILLY, David",Baroque,Dutch,painter,Leiden
"BACKHUYSEN, Ludolf",Baroque,Dutch,painter,
"JIMÉNEZ Y ARANDA, Luis",Realism,Spanish,painter,
"VERONESE, Paolo",Mannerism,Italian,painter,Venice
"WILLIAMS, Hugh William",Romanticism,Scottish,painter,
"BUTINONE, Bernardino Jacopi",Early Renaissance,Italian,painter,Lombardy
"WTEWAEL, Peter",Baroque,Dutch,painter,Utrecht
"HEIMBACH, Wolfgang",Baroque,German,painter,
"SODOMA, Il",High Renaissance,Italian,painter,Siena
"GUIDOTTI, Paolo",Mannerism,Italian,painter,Rome
MATTHEW PARIS,Medieval,English,illuminator,
BARTOLOMEO DI GIOVANNI,Early Renaissance,Italian,painter,Florence
"BENSON, Willem",Northern Renaissance,Flemish,painter,Bruges
"TASSAERT, Jean-Pierre-Antoine",Rococo,Flemish,sculptor,
"CARRACCI, Lodovico",Baroque,Italian,painter,Bologna
"VINCENT, François-André",Neoclassicism,French,painter,
"ALMA-TADEMA, Lawrence",Romanticism,English,painter,London
"CROFF, Giuseppe",Neoclassicism,Italian,sculptor,Milan
"FORAIN, Jean-Louis",Realism,French,painter,Paris
"PICHLER, Joseph von",Rococo,Austrian,painter,Vienna
"FORNENBURGH, Jan Baptist van",Baroque,Dutch,painter,The Hague
"ZEEUW, Cornelis de",Mannerism,Flemish,painter,Antwerp
"CRETI, Donato",Baroque,Italian,painter,Bologna
"ASPERTINI, Amico",Mannerism,Italian,painter,Bologna
"KERN, Leonhard",Baroque,German,sculptor,
"VELDE, Esaias van de",Baroque,Dutch,painter,The Hague
"COROT, Jean-Baptiste Camille",Realism,French,painter,
"ANDREESCU, Ion",Impressionism,Other,painter,Bucharest
"PORCELLIS, Julius",Baroque,Dutch,painter,
"WILLAERTS, Isaac",Baroque,Dutch,painter,Utrecht
"HOECKE, Jan van den",Baroque,Flemish,painter,
"CASTILLO, Juan del",Baroque,Spanish,painter,Seville
"PARIGI, Alfonso the Younger",Baroque,Italian,architect,Florence
"FORTUNY Y MARSAL, Mariano",Impressionism,Spanish,painter,
"GOOCH, Thomas",Rococo,English,painter,London
"ANGELI, Giuseppe",Baroque,Italian,painter,Venice
"BASTIANI, Lazzaro",Early Renaissance,Italian,painter,Venice
"CORTESE, Cristoforo",Medieval,Italian,illuminator,Venice
ANTONIO DA ATRI,Medieval,Italian,painter,Atri
"ZOPPO, Marco",Early Renaissance,Italian,painter,Venice
"LAMBERTI, Piero di Niccolò",Early Renaissance,Italian,sculptor,Venice
"TITO, Tiberio di",Mannerism,Italian,painter,Florence
"PORTA, Giacomo della",Baroque,Italian,architect,
"DOWNMAN, John",Rococo,English,painter,
"GIANI, Felice",Neoclassicism,Italian,painter,
UGOLINO DI TEDICE,Medieval,Italian,painter,Pisa
"MEMBERGER, Kaspar the Elder",Mannerism,Swiss,painter,
"BAROCCI, Federico Fiori",Mannerism,Italian,painter,Urbino
"VINNE, Vincent II Laurensz. van der",Baroque,Dutch,painter,Haarlem
"VETRI, Domenico de'",High Renaissance,Italian,sculptor,Florence
"ROSSETTI, Dante Gabriel",Romanticism,English,painter,
"AST, Balthasar van der",Baroque,Dutch,painter,Delft
"CLOVIO, Giulio",High Renaissance,Italian,illuminator,Rome
"BARRE, Jean-August",Realism,French,sculptor,Paris
"GROS, Antoine-Jean",Neoclassicism,French,painter,
"CORNEILLE, Michel I",Baroque,French,painter,Paris
"BLECHEN, Karl",Romanticism,German,painter,
"CAVEDONE, Giacomo",Baroque,Italian,painter,Bologna
"HOLT, Edwin Frederick",Realism,English,painter,Dunstable
"MORLAND, George",Rococo,English,painter,London
"MUR, Ramon de",Early Renaissance,Catalan,painter,Tarragona
"GRECO, Gennaro",Baroque,Italian,painter,Naples
"ANTOLINEZ, José",Baroque,Spanish,painter,Madrid
"NIGETTI, Matteo",Baroque,Italian,architect,Florence
"VERMEER, Johannes",Baroque,Dutch,painter,Delft
"MILLAIS, Sir John Everett",Realism,English,painter,London
AGOSTINO DI GIOVANNI,Medieval,Italian,sculptor,Siena
"BECCARUZZI, Francesco",High Renaissance,Italian,painter,Conegliano
"NALDINI, Giovan Battista",Mannerism,Italian,painter,Florence
"DUYSTER, Willem Cornelisz.",Baroque,Dutch,painter,Amsterdam
"SCHUFFENECKER, Emile",Impressionism,French,painter,Paris
"FUNGAI, Bernardino",Early Renaissance,Italian,painter,Siena
"MASSYS, Jan",Northern Renaissance,Flemish,painter,Antwerp
"DUSART, Cornelis",Baroque,Dutch,painter,Haarlem
"WEEKS, Edwin Lord",Romanticism,American,painter,
"CORDOBA, Pedro de",Early Renaissance,Spanish,painter,Cordoba
"LEEMPUT, Remigius van",Baroque,Flemish,painter,
MICHELINO DA BESOZZO,Early Renaissance,Italian,illuminator,Lombardy
"VOSMAER, Daniel",Baroque,Dutch,painter,
"MORA, Bernardo de",Baroque,Spanish,sculptor,Granada
"BURCH, Hendrick van der",Baroque,Dutch,painter,Delft
PALMERINO DI GUIDO,Medieval,Italian,painter,
"CRUQUIUS, Nicolaas Samuel",Baroque,Dutch,painter,
"HONDECOETER, Melchior d'",Baroque,Dutch,painter,Amsterdam
"BELLINI, Gentile",Early Renaissance,Italian,painter,Venice
"OVERBEKE, Adriaen van",Northern Renaissance,Flemish,painter,Antwerp
"OLIVIERI, Giovanni Domenico",Baroque,Italian,sculptor,Madrid
FRANCESCO DA MILANO,Medieval,Italian,goldsmith,Dalmatia
MASTER of AC Monogram,Mannerism,French,painter,
"BEHNES, William",Neoclassicism,English,sculptor,London
"RECCO, Giacomo",Baroque,Italian,painter,Naples
"TURNER, Joseph Mallord William",Romanticism,English,painter,
"BERGHE, Christoffel van den",Baroque,Flemish,painter,Middelburg
"CHRISTIAN, Johann Josef",Rococo,German,sculptor,
"NATTIER, Jean-Marc",Baroque,French,painter,Paris
"UKHTOMSKY, Konstantin Andreyevich",Realism,Russian,painter,St. Petersburg
"STOCKT, Vrancke van der",Northern Renaissance,Flemish,painter,
"PREVIATI, Gaetano",Impressionism,Italian,painter,
"BRIZIO, Francesco",Baroque,Italian,painter,Bologna
"LORENZETTI, Ambrogio",Medieval,Italian,painter,Siena
"MARIANI, Camillo",Mannerism,Italian,sculptor,Rome
"LIBERI, Pietro",Baroque,Italian,painter,Venice
"COSTER, Jan",Northern Renaissance,Netherlandish,goldsmith,Amsterdam
"BASCHENIS, Evaristo",Baroque,Italian,painter,Bergamo
"REHBENITZ, Theodor Markus",Romanticism,German,painter,
"HOCHHAUSER, Ephraim",Baroque,Austrian,painter,Vienna
MASTER of St Francis,Medieval,Italian,painter,Umbria
"CABEL, Adriaan van der",Baroque,Dutch,painter,
"JONGKIND, Johan Barthold",Impressionism,Dutch,painter,France
"SABLET, Jean-François",Neoclassicism,Swiss,painter,
"PIETERSZ., Pieter",Mannerism,Netherlandish,painter,
"DAHL, Michael",Baroque,Swedish,painter,London
"HULSDONCK, Jacob van",Baroque,Flemish,painter,Antwerp
"LARGILLIÈRE, Nicolas de",Baroque,French,painter,
"MAELLA, Mariano Salvador de",Neoclassicism,Spanish,painter,Madrid
"LASCARIS, Giorgio",High Renaissance,Italian,sculptor,
"FERRARI, Gregorio de",Baroque,Italian,painter,Genoa
"ROSSI, Properzia de'",High Renaissance,Italian,sculptor,Bologna
"AMERLING, Friedrich von",Romanticism,Austrian,painter,Vienna
"DUQUESNOY, François",Baroque,Flemish,sculptor,Rome
"SPAENDONCK, Cornelis van",Rococo,Dutch,painter,Paris
"ALLORI, Cristofano",Baroque,Italian,painter,Florence
"ROYEN, Willem Frederik van",Baroque,Dutch,painter,Berlin
"BONECHI, Matteo",Rococo,Italian,painter,Florence
"ES, Jacob van",Baroque,Flemish,painter,Antwerp
SARACCHI brothers,Mannerism,Italian,sculptor,Milan
"SOHLBERG, Harald",Realism,Norwegian,painter,Oslo
"DUBOIS, Paul",Realism,French,sculptor,Paris
"SUSINI, Francesco",Baroque,Italian,sculptor,Florence
"BARRIAS, Louis-Ernest",Realism,French,sculptor,Paris
"MATTEINI, Teodoro",Romanticism,Italian,painter,Venice
"ROSSELLI, Cosimo",Early Renaissance,Italian,painter,Florence
"FERRARI, Giovanni",Neoclassicism,Italian,sculptor,Venice
"CLOSTERMAN, John",Baroque,German,painter,London
UGOLINO DI NERIO,Medieval,Italian,painter,Siena
"GOUPIL, Jules-Adolphe",Realism,French,painter,Paris
"AVERCAMP, Barend",Baroque,Dutch,painter,Kampen
"RIBALTA, Francisco",Baroque,Spanish,painter,
DONATO,Medieval,Italian,painter,Venice
"SOGLIANI, Giovanni Antonio",High Renaissance,Italian,painter,Florence
"STEEN, Jan",Baroque,Dutch,painter,Leiden
"RUES, Tommaso",Baroque,Austrian,sculptor,Venice
"MALOMBRA, Pietro",Mannerism,Italian,painter,Venice
"KERCKHOVEN, Jacob van de",Baroque,Flemish,painter,Venice
"GRIMMER, Jacob",Mannerism,Flemish,painter,Antwerp
"XAVERY, Pieter",Baroque,Dutch,sculptor,Leiden
"BROOKING, Charles",Baroque,English,painter,London
"CAGNACCI, Guido",Baroque,Italian,painter,
"NOMELLINI, Plinio",Impressionism,Italian,painter,
"TADOLINI, Scipione",Realism,Italian,sculptor,Rome
"PACKX, Hendrick Ambrosius",Baroque,Dutch,painter,Amsterdam
"PRETI, Francesco Maria",Baroque,Italian,architect,Castelfranco
"QUAGLIO, Domenico",Romanticism,Italian,painter,Munich
"NEUGEBAUER, Josef",Romanticism,Austrian,painter,Vienna
"WRIGHT, John Michael",Baroque,English,painter,
"MAROT, Jean I",Baroque,French,architect,Paris
"BOULANGER, Jean",Baroque,French,painter,Modena
CANALETTO,Baroque,Italian,painter,Venice
"VIGNOLA, Giacomo da",High Renaissance,Italian,architect,Rome
"SMITH, George",Baroque,English,painter,Chichester
"ROUSSEAU, Henri",Realism,French,painter,Paris
"ISABEY, Jean-Baptist",Romanticism,French,miniaturist,
"LEONI, Pompeo",Mannerism,Italian,painter,Spain
"FERRI, Ciro",Baroque,Italian,painter,Rome
"MONT, Deodat van der",Baroque,Flemish,painter,Antwerp
"HERWIJCK, Steven van",Mannerism,Netherlandish,sculptor,London
"PRADIER, James",Neoclassicism,Swiss,sculptor,
"KNOLLER, Martin",Neoclassicism,Austrian,painter,Italy
"VRIES, Roelof van",Baroque,Dutch,painter,Haarlem
"SWEERTS, Michiel",Baroque,Flemish,painter,
"ABBATI, Giuseppe",Realism,Italian,painter,
"ANSELMI, Michelangelo",High Renaissance,Italian,painter,Parma
"PONCE, Jacquiot",Mannerism,French,sculptor,
"MANGLARD, Adrien",Baroque,French,painter,Italy
"BOULLOGNE, Louis the Younger",Baroque,French,painter,Paris
"ANDRIESSEN, Jurriaan",Rococo,Dutch,painter,Amsterdam
"BROECK, Elias van den",Baroque,Dutch,painter,Amsterdam
"BURCH, Cornelis Jansz. van der Burch",Baroque,Dutch,goldsmith,Delft
"POLACK, Jan",Northern Renaissance,Polish,painter,Munich
"VASSALLO, Antonio Maria",Baroque,Italian,painter,Genoa
"EYCK, Barthélemy d'",Northern Renaissance,Flemish,painter,France
"NEUFCHATEL, Nicolas",Mannerism,Flemish,painter,Nuremberg
"CAMPI, Giulio",High Renaissance,Italian,painter,Cremona
"JONSON VAN CEULEN, Cornelius the Elder",Baroque,Flemish,painter,
"SEEMAN, Enoch",Baroque,English,painter,London
"TORRES, Clemente de",Baroque,Spanish,painter,
"ALGARDI, Alessandro",Baroque,Italian,sculptor,Rome
"HORENBOUT, Gerard",Northern Renaissance,Flemish,painter,Ghent
"KEIL, Bernhard",Baroque,Danish,painter,Rome
"TORRETTI, Giuseppe",Baroque,Italian,sculptor,Venice
"CHEERE, John",Rococo,English,sculptor,London
"ALSLOOT, Denis van",Baroque,Flemish,painter,Brussels
"WITMONT, Heerman",Baroque,Dutch,painter,Delft
"BEUCKELAER, Joachim",Mannerism,Flemish,painter,Antwerp
"MARZAL DE SAX, Andrés",Early Renaissance,Spanish,painter,Valencia
"KLENZE, Leo von",Romanticism,German,painter,
NICCOLÒ DI PIETRO,Early Renaissance,Italian,painter,Venice
"MUNKÁCSY, Mihály",Realism,Hungarian,painter,
BARTOLO DI FREDI,Medieval,Italian,painter,Siena
"GRÜNEWALD, Matthias",Northern Renaissance,German,painter,
"FLAXMAN, John",Neoclassicism,English,sculptor,
"BENTLEY, Charles",Romanticism,English,painter,London
"VIGNON, Claude",Baroque,French,painter,
"SALINI, Tommaso",Baroque,Italian,painter,Rome
"TRIPPEL, Alexander",Rococo,Swiss,sculptor,
"TORELLI, Stefano",Baroque,Italian,painter,
"CIAMPANTI, Michele",Early Renaissance,Italian,painter,Lucca
MASTELLETTA,Mannerism,Italian,painter,Rome
GIOVANNI DI BALDUCCIO,Medieval,Italian,sculptor,
"AVANZI, Jacopo",Medieval,Italian,painter,Padua
"FABBRINI, Giuseppe Antonio",Neoclassicism,Italian,painter,Florence
"VALCKENBORCH, Marten van I",Mannerism,Flemish,painter,Frankfurt am Main
"HEIM, François-Joseph",Neoclassicism,French,painter,Paris
"GIMIGNANI, Giacinto",Baroque,Italian,painter,Rome
"LEE, Frederick Richard",Romanticism,English,painter,
"ALT, Rudolf von",Realism,Austrian,painter,
"SCHOR, Johann Paul",Baroque,Italian,painter,Rome
"GIAQUINTO, Corrado",Baroque,Italian,painter,Madrid
"CHARLES, James",Realism,English,painter,
"INNES, George",Realism,American,painter,
"JACOBSZ., Juriaen",Baroque,Dutch,painter,
"LE LORRAIN, Louis-Joseph",Neoclassicism,French,painter,
"GRECHE, Domenico dalle",High Renaissance,Italian,painter,Venice
"NORDSTRÖM, Karl Fredrik",Impressionism,Swedish,painter,
"WITTEL, Caspar Andriaans van",Baroque,Dutch,painter,Rome
"LANDINI, Taddeo",Mannerism,Italian,sculptor,
"STRIJ, Abraham van, I",Baroque,Dutch,painter,Dordrecht
"BLOOT, Pieter de",Baroque,Dutch,painter,Rotterdam
"VERESHCHAGIN, Vasily Vasilyevich",Realism,Russian,painter,
"BLOEMAERT, Abraham",Baroque,Dutch,painter,Utrecht
"FETTI, Lucrina",Baroque,Italian,painter,
"CADES, Giuseppe",Baroque,Italian,painter,Rome
"ROSSO, Medardo",Impressionism,Italian,sculptor,
"GARZI, Luigi",Baroque,Italian,painter,Rome
"SIRANI, Giovanni Andrea",Baroque,Italian,painter,Bologna
"HUYSMANS, Jacob",Baroque,Flemish,painter,London
"PARACCA, Giovanni Antonio",Mannerism,Italian,sculptor,Rome
"FRÉMIN, René",Baroque,French,sculptor,
CLODION,Rococo,French,sculptor,
BACCIO d'Agnolo,High Renaissance,Italian,sculptor,Florence
"LEMMEN, Georges",Impressionism,Belgian,painter,
THEOPHANES the Greek,Medieval,Greek,painter,Russia
"BOCCHI, Faustino",Baroque,Italian,painter,Brescia
"VOLLERDT, Johann Christian",Rococo,German,painter,
"MERCIÉ, Antonin",Realism,French,sculptor,Paris
"VEEN, Otto van",Mannerism,Flemish,painter,
"CERUTI, Giacomo",Baroque,Italian,painter,Lombardy
"CAULLERY, Louis de",Baroque,Flemish,painter,Antwerp
"POEL, Egbert van der",Baroque,Dutch,painter,Delft
"PERRAULT, Claude",Baroque,French,architect,Paris
"RUDE, François",Romanticism,French,sculptor,
"FERENCZY, István",Neoclassicism,Hungarian,sculptor,
GIOVANNI DI TURINO,Early Renaissance,Italian,sculptor,Siena
"ALTDORFER, Albrecht",Northern Renaissance,German,painter,
"GILPIN, Sawrey",Rococo,English,painter,London
"PINEAU, Nicolas",Baroque,French,sculptor,Paris
"SANDTNER, Carlo",Baroque,German,painter,Mantua
"VERMEULEN, Jan",Baroque,Dutch,painter,Haarlem
"LAURENS, Jean-Paul",Realism,French,painter,Paris
"LEDERER, Jörg",Northern Renaissance,German,sculptor,Upper Swabia
"LEFEBVRE, Jules-Joseph",Realism,French,painter,Paris
"CARTELLIER, Pierre",Neoclassicism,French,sculptor,
"DAGNAN-BOUVERET, Pascal-Adolphe-Jean",Realism,French,painter,
"BARENDSZ., Dirck",Mannerism,Dutch,painter,Amsterdam
"MELBYE, Anton",Romanticism,Danish,painter,
"GRIGORESCU, Nicolae",Realism,Other,painter,
"PIAZZA DA LODI, Martino",High Renaissance,Italian,painter,Lodi
"SPADINO, Bartolomeo",Baroque,Italian,painter,Rome
"CARNOVALI, Giovanni",Neoclassicism,Italian,painter,
"GIJSELS, Pieter",Baroque,Flemish,painter,Antwerp
"PRETI, Mattia",Baroque,Italian,painter,Malta
"GILLOT, Claude",Baroque,French,painter,
"VOOGD, Hendrik",Rococo,Dutch,painter,Italy
"WESEL, Adriaen van",Northern Renaissance,Netherlandish,sculptor,Utrecht
"ALLEGRAIN, Etienne",Baroque,French,painter,Paris
NICCOLÒ DI BUONACCORSO,Medieval,Italian,painter,Siena
"DILLENS, Julien",Realism,Belgian,sculptor,
"RICCI, Marco",Baroque,Italian,painter,Venice
"VIDAL, Eugène",Impressionism,French,painter,Paris
COPPO DI MARCOVALDO,Medieval,Italian,painter,Florence
"SULLY, Thomas",Romanticism,American,painter,
"FONTANA, Lavinia",Mannerism,Italian,painter,
"GOGH, Vincent van",Impressionism,Dutch,painter,
"ALBERTINELLI, Mariotto",Early Renaissance,Italian,painter,Florence
"COLIN, Alexandre-Marie",Romanticism,French,painter,
"ARENTSZ., Arent",Baroque,Dutch,painter,Amsterdam
"BRAND, Johann Christian",Rococo,Austrian,painter,Vienna
"LISSE, Dirck van der",Baroque,Dutch,painter,Den Haag
"VERBURGH, Dionijs",Baroque,Dutch,painter,Rotterdam
"TRABALLESI, Francesco",Mannerism,Italian,painter,
"MALLET, Jean-Baptiste",Rococo,French,painter,
LUCA DI TOMMÈ,Medieval,Italian,painter,Siena
"NEER, Aert van der",Baroque,Dutch,painter,Amsterdam
"SPADINO, Giovanni Paolo",Baroque,Italian,painter,Rome
"ANSALDO, Giovanni Andrea",Baroque,Italian,painter,Genoa
"DUMONSTIER, Pierre",Mannerism,French,painter,
"DEGAS, Edgar",Impressionism,French,painter,Paris
"BASSEN, Bartholomeus van",Baroque,Dutch,painter,The Hague
"WEBB, James",Realism,English,painter,London
"WIJNTRACK, Dirck",Baroque,Dutch,painter,
MASTER of Balaam,Northern Renaissance,German,painter,
"GASCAR, Henri",Baroque,French,painter,
"LAURANA, Luciano",Early Renaissance,Italian,architect,
"GHIRLANDAIO, Domenico",Early Renaissance,Italian,painter,Florence
"GOENEUTTE, Norbert",Impressionism,French,painter,
"CAUSICI, Enrico",Neoclassicism,Italian,sculptor,North America
NICOLAS OF VERDUN,Medieval,French,goldsmith,
"MAGGI DA BASSANO, Annibale",Early Renaissance,Italian,architect,Padua
"CLAEISSENS, Pieter the Younger",Mannerism,Flemish,painter,Bruges
"PILON, Germain",Mannerism,French,sculptor,
"OVERBECK, Friedrich",Romanticism,German,painter,
"LIMBOURG brothers (Herman, Jean, Paul)",Northern Renaissance,Netherlandish,illuminator,Burgundy
"VLEUGHELS, Nicolas",Rococo,French,painter,
"NOTTOLINI, Lorenzo",Neoclassicism,Italian,architect,Lucca
"PAUDISS, Christoph",Baroque,German,painter,
"EYCK, Jan van",Northern Renaissance,Flemish,painter,
PALMA GIOVANE,Mannerism,Italian,painter,Venice
"OUTIN, Pierre",Romanticism,French,painter,
"CORNELIUS, Peter",Romanticism,German,painter,
"RUSH, William",Romanticism,American,sculptor,
"BERNERO, Giovanni Battista",Baroque,Italian,sculptor,Turin
"PIOLA, Paolo Gerolamo",Baroque,Italian,painter,Genoa
"STREECK, Juriaen van",Baroque,Dutch,painter,Amsterdam
"MOCHI, Francesco",Baroque,Italian,sculptor,
"VALCKENBORCH, Lucas van",Mannerism,Flemish,painter,
"FERRATA, Ercole",Baroque,Italian,sculptor,
"PROCACCINI, Ercole I",Mannerism,Italian,painter,Milan
"FIGINO, Giovanni Ambrogio",Mannerism,Italian,painter,Lombardy
PASQUINO DA MONTEPULCIANO,Early Renaissance,Italian,sculptor,
"VOLAIRE, Pierre-Jacques",Rococo,French,painter,
"MUSSCHER, Michiel van",Baroque,Dutch,painter,Amsterdam
DESIDERIO DA SETTIGNANO,Early Renaissance,Italian,sculptor,Florence
"VERROCCHIO, Andrea del",Early Renaissance,Italian,sculptor,
"AMEDEI, Giuliano",Early Renaissance,Italian,illuminator,Rome
"NUYEN, Wijnandus Johannes Josephus",Romanticism,Dutch,painter,The Hague
"DE FABRIS, Emilio",Realism,Italian,architect,Florence
"STOSS, Veit",Northern Renaissance,German,sculptor,
"BAEGERT, Derick",Northern Renaissance,German,painter,Wesel
"BERGOGNONE, Ambrogio",High Renaissance,Italian,painter,Lombardy
