Ime_slikarja,Narodnost,Smer,Letnice_kraj 
"CRESCENZI, Giovanni Battista",Italian,painter,"b. 1577, Roma, d. 1635, Madrid"
ROGER OF HELMARSHAUSEN,German,goldsmith,active 1100-1125 at Helmarshausen
"SOLARI, Guiniforte",Italian,architect,"b. 1429, Milano, d. 1481, Milano"
"PETITOT, Ennemond-Alexandre",French,architect/engraver,"b. 1727, Lyon, d. 1801, Parma"
"KLEINER, Salomon",German,engraver,"b. 1703, Augsburg, d. 1761, Wien"
"CORIOLANO, Cristoforo",German,engraver,"b. 1540, Nürnberg, d. ca. 1600, Venezia"
GIOVANNI D'AGOSTINO,"Italian sculptor, Sienese",school,"b. 1311, Siena, d. ca. 1348, Siena"
ARCANGELO DI JACOPO DEL SELLAIO,"Italian painter, Florentine",school,"b. 1477/78, Firenze, d. 1530, Firenze"
"CATS, Jacob",Dutch,painter,"b. 1741, Altona, d. 1799, Amsterdam"
"KNIP, Mattheus Derk",Dutch,painter,"b. 1785, Tilburg, d. 1845, Vught"
"RING, Pieter de",Dutch,painter,"b. ca. 1615, Leiden, d. 1660, Leiden"
"VERBRUGGEN, Hendrick Frans",Flemish,sculptor,"b. 1654, Antwerpen, d. 1724, Antwerpen"
"MAITANI, Lorenzo",Italian,sculptor/architect,"b. ca. 1255, Siena, d. 1330, Orvieto"
"PEE, Jan van",Dutch,painter,"b. before 1640, Amsterdam, d. 1710, Antwerpen"
"OUDRY, Jean-Baptiste",French,painter,"b. 1686, Paris, d. 1755, Beauvais"
"CARNOVALI, Giovanni",Italian,painter,"b. 1804, Montegrino, d. 1873, Cremona"
"PHILLIPS, Thomas",English,painter,"b. 1770, Dudley, d. 1845, London"
"ROTTMAYR, Johann Michael",Austrian,painter,"b. 1654, Laufen, d. 1730, Wien"
"LIGETI, Antal",Hungarian,painter,"b. 1823, Nagykároly, d. 1890, Budapest"
"MAZZONI, Guido",Italian,sculptor,"b. ca. 1450, Modena, d. 1518, Modena"
"POT, Hendrick Gerritsz",Dutch,painter,"b. ca. 1580, Haarlem, d. 1657, Amsterdam"
"FRANCHOYS, Pieter",Flemish,painter,"b. 1606, Mechelen, d. 1654, Mechelen"
"BEMBO, Bonifazio","Italian painter, Cremona",school,active in Brescia and Cremona 1444-1477
"DUPLESSIS, Joseph-Siffred",French,painter,"b. 1725, Carpentras, d. 1802, Versailles"
"ENSOR, James",Belgian,painter,"b. 1860, Oostende, d. 1949, Oostende"
"BUONSIGNORI, Stefano",Italian,cartogtapher,"active in Florence, d. 1589"
"STRINGER, Thomas",English,painter,"b. 1722, Knutsford, d. 1790, Knutsford"
"GRENIER, Pasquier",Burgundian tapestry,dealer,active 1447-1493 in Tournai
"BEYEREN, Abraham van",Dutch,painter,"b. 1620, Den Haag, d. 1690, Overschie"
GUARIENTO d'Arpo,Italian,painter,active 1338-1368 in Padua
ANDREA DA FIRENZE,"Italian painter, Florentine",school,"active 1343-1377, Firenze"
"DEMIN, Giovanni",Italian painter and,engraver,"b. 1786, Belluno, d. 1859, Tarzo"
"GRIMMER, Abel",Flemish,painter,"b. ca. 1570, Antwerpen, d. ca. 1619, Antwerpen"
"SCHÖPFER, Hans the Elder",German,painter,"b. ca. 1505, d. 1569, München"
"HUBER, Jean",Swiss,painter,"b. 1721, Geneve, d. 1786, Bellevue"
"PETERS, Johann Anton de",German,painter,"b. 1725, Köln, d. 1795, Köln"
"SCHÖNBERGER, Lorenz Adolf",Austrian,painter,"b. 1768, Bad Vöslau, d. 1846, Mainz"
"CANTARINI, Simone","Italian painter, Bolognese",school,"b. 1612, Pesaro, d. 1648, Pesaro"
"CASTAGNOLI, Giuseppe",Italian,painter,"b. 1754, Prato, d. 1832, Firenze"
"LE GROS, Pierre the Younger",French,sculptor,"b. 1666, Paris, d. 1719, Roma"
"SCHAFFNER, Martin",German painter and,medallist,"b. 1477/78, ?, d. 1549, Ulm"
"SAINT-JEAN, Simon",French,painter,"b. 1808, Lyon, d. 1860, Ecully"
"VOORHOUT, Johannes",Dutch,painter,"b. 1647, Uithoorn, d. 1723, Amsterdam"
MASTER of Hohenfurth,Bohemian,painter,active 1350-70 in Prague
"LANEUVILLE, Jean-Louis",French,painter,"b. 1748, Paris, di 1826, Paris"
"CORDIER, Charles-Henri-Joseph",French,sculptor,"b. 1827, Cambrai, d. 1905, Algiers"
"CÉZANNE, Paul",French,painter,"b. 1839, Aix-en-Provence, d. 1906, Aix-en-Provence"
"FAVRETTO, Giacomo",Italian,painter,"b. 1849, Venezia, d. 1887, Venezia"
"VISSCHER, Roemer",Dutch,poet,"b. 1547, Amsterdam, d. 1620, Amsterdam"
"OUTIN, Pierre",French,painter,"b. 1840, Moulins, d. 1899, Paris"
"CERQUOZZI, Michelangelo","Italian painter, Roman",school,"b. 1602, Roma, d. 1660, Roma"
"WILTON, Joseph",English,sculptor,"b. 1722, London, d. 1803, London"
"CAMUCCINI, Vincenzo",Italian,painter,"b. 1771, Roma, d. 1844, Roma"
"TRÉMOLIÈRES, Pierre-Charles",French,painter,"b. 1703, Cholet, d. 1739, Paris"
"CROPSEY, Jasper Francis",American,painter,"b. 1823, Rossville, d. 1900, Hastings-on-Hudson"
"EVERSDIJCK, Willem",Dutch,painter,"b. ca. 1616, Goes, d. 1671, Middelburg"
"PERUZZI, Baldassare","Italian architect, Roman",school,"b. 1481, Ancaiano, d. 1536, Roma"
"FUNK, Hans",Swiss glass,painter,"b. ca. 1470, Zürich, d. ca. 1539, Zürich"
THEOPHANES the Greek,Russian/Greek,painter,"b. ca. 1340, Constantinople, d. ca. 1410, ?"
"EYCK, Hubert van",Flemish,painter,died 1426
"BAROCCI, Federico Fiori",Italian,painter,"b. 1526, Urbino, d. 1612, Urbino"
"CAMILLIANI, Francesco",Italian,architect,d. 1586
"NANTEUIL, Charles-François",French,sculptor,"b. 1792, Paris, d. 1865, Paris"
"NUVOLONE, Giuseppe","Italian painter, Lombard",school,"b. 1619, Milano, d. 1703, Milano"
"BLOMMENDAEL, Reyer van",Dutch,"painter,","b. 1628, Amsterdam, d. 1675, Haarlem"
"ASCH, Pieter Jansz. van",Dutch,painter,"b. 1603, Delft, d. 1678, Delft"
"BEAUX, Cecilia",American,painter,"b. 1855, Philadelphia, d. 1942, Gloucester"
"ERHART, Michael",German,sculptor,active 1469-1522 in Ulm
"FAYDHERBE, Luc",Flemish,sculptor,"b. 1617, Mechelen, d. 1697, Mechelen"
"STROZZI, Bernardo",Italian,painter,"b. 1581, Genova, d. 1644, Venezia"
"LIGOZZI, Jacopo","Italian painter, Florentine",school,"b. 1547, Verona, d. 1627, Firenze"
"BASSA, Arnau",Catalan,painter,active in second half of 14th century
"BOUTON, Charles-Marie",French,painter,"b. 1781, Paris, d. 1853, Paris"
"NAGY BALOGH, János",Hungarian,painter,"b. 1874, Budapest, d. 1919, Budapest"
"ELSÄSSER, Sigmund",Austrian,painter,d. ca. 1587
"WILLAERTS, Adam","Dutch painter, Utrecht",school,"b. 1577, Antwerpen, d. 1664, Utrecht"
"BOLLONGIER, Hans","Dutch painter, Haarlem",school,"b. ca. 1600, Haarlem, d. ca. 1675, Haarlem"
UGOLINO DI VIERI,Italian,goldsmith,"active 1328, d. ca. 1380, Siena"
"DYCK, Sir Anthony van",Flemish,painter,"b. 1599, Antwerpen, d. 1641, London"
"WATTS, Frederick Waters",English,painter,"b. 1800, Bath, d. 1870, Hampstead"
"ALEKSANDROVIÆ, Ljubomir",Serbian,painter,"b. 1828, Srpski Sv. Marton, d. 1887"
"QUADAL, Martin Ferdinand",Moravian,painter,"b. 1736, Niemtschitz, Moravia, d. 1808, St. Petersburg"
"BERCKHEYDE, Job Adriaensz",Dutch,painter,"b. 1630, Haarlem, d. 1693, Haarlem"
"CALIARI, Carlo","Italian painter, Venetian",school,"b. ca. 1567, Venezia, d. ca. 1592, Venezia"
"JIMÉNEZ Y ARANDA, Luis",Spanish,painter,"b. 1845, Sevilla, d. 1928, Pontoise"
"CAMPEN, Jacob van",Dutch,architect/painter,"b. 1596, Haarlem, d. 1657, Amersfoort"
"BALDUNG GRIEN, Hans",German,painter,"b. 1484/85, Schwäbisch-Gmünd, d. 1545, Strasbourg"
"BAYEU Y SUBIAS, Francisco",Spanish,painter,"b. 1734, Zaragoza, d. 1795, Madrid"
"GOUTHIÈRE, Pierre",French,metalworker,"b. 1732, Bar-sur-Aube, d. 1813, Paris"
"BIGOT, Trophîme",French,painter,"b. ca. 1600, Arles, d. 1650, Avignon"
"POIRIER, Claude",French,sculptor,"b. ca. 1656, Paris. d. 1729, Varzy"
"VANNINI, Ottavio",Italian,painter,"b. 1585, Firenze, d. 1644, Firenze"
"MALOUEL, Jean",Flemish,painter,active 1397-1415
"VALADIER, Luigi",Italian,sculptor,"b. 1726, Roma, d. 1785, Roma"
"BAILLY, Jacques I",French,miniaturist,"b. ca. 1634, Graçay, d. 1679, Paris"
"SCOREL, Jan van",Dutch,painter,"b. 1495, Schoorl, d. 1562, Utrecht"
"WHISTLER, James Abbot McNeill",American painter and,printmaker,"b. 1834, Lowell, d. 1903, London"
"DUJARDIN, Karel",Dutch,painter,"b. 1622, Amsterdam, d. 1678, Venezia"
"SARTORIUS, Francis I",English,painter,"b. 1734, London, d. 1804, London"
"TARDIEU, Nicolas-Henry",French,engraver,"b. 1674, Paris, d. 1749, Paris"
"RECCO, Giovan Battista",Italian,painter,"b. ca. 1615, Napoli, d. ca. 1660, Napoli"
"FOUQUET, Jean",French painter and,illuminator,"b. ca. 1420, Tours, d. ca. 1480, Tours"
"ALLSTON, Washington",American,painter,"b. 1779, Waccamaw, d. 1843, Cambridgeport"
"GRONDONCK, Bartholomeus",Flemish,painter,active c. 1617 in Antwerp
"LESCOT, Pierre",French,architect,"b. ca. 1510, Paris, d. 1578, Paris"
"RIBALTA, Francisco","Spanish painter, Valencia",school,"b. 1565, Solsona, d. 1628, Valencia"
"OUDINÉ, Eugène André",French,sculptor,"b. 1810, Paris, d. 1887, Paris"
"BASSEN, Bartholomeus van",Dutch,painter,"b. ca. 1590, Den Haag, d. 1652, Den Haag"
"BOGAERT, Jan",Flemish,potter,active around 1550 in Antwerp
"SHUBIN, Fedot Ivanovich",Russian,sculptor,"b. 1740, Techkovskaya, d. 1805, St. Petersburg"
"SIGNORELLI, Francesco",Italian,painter,"b. ca. 1495, Cortona, d. 1553, Cortona"
GIULIO ROMANO,"Italian painter, Roman",school,"b. ca. 1499, Roma, d. 1546, Mantova"
"NETSCHER, Constantijn",Dutch,painter,"b. 1668, Den Haag, d. 1723, Den Haag"
"DEMARNE, Jean-Louis",French,painter,"b. 1752, Bruxelles, d. 1829, Paris"
"PELLEGRINI, Giovanni Antonio","Italian painter, Venetian",school,"b. 1675, Venezia, d. 1741, Venezia"
"PAULSEN, Julius",Danish,painter,"b. 1860, Odense, d. 1940, København"
"UNTERBERGER, Michelangelo",Austrian,painter,"b. 1695, Cavalese, d. 1758, Wien"
"BRANDI, Domenico",Italian,painter,"b. 1683, Napoli, d. 1736, Napoli"
"LEOPARDI, Alessandro",Italian,bronze-founder,active 1482-1522 in Venice
"WEENIX, Jan",Dutch,painter,"b. 1642, Amsterdam, d. 1719, Amsterdam"
"RYCKAERT, David the Younger",Flemish,painter,"b. 1612, Antwerpen, d. 1661, Antwerpen"
"DAL ZOTTO, Antonio",Italian,sculptor,"b. 1841, Venezia, d. 1918, Venezia"
"LIES, Jozef Hubert",Belgian,painter,"b. 1821, Antwerpen, d. 1865, Antwerpen"
"PACHER, Friedrich",Austrian,painter,active 1470-80 in Tyrol
"MILHOMME, François-Dominique-Aimé",French,sculptor,"b. 1758, Valenciennes, d. 1823, Paris"
"WERFF, Adriaen van der",Dutch,painter,"b. 1659, Kralingen, d. 1722, Rotterdam"
"CADES, Giuseppe",Italian,painter,"b. 1750, Roma, d. 1799, Roma"
"MAROT, Daniel I",French architect and,engraver,"b. 1661, Paris, d. 1752, Den Haag"
"BRUNELLESCHI, Filippo",Italian architect and,sculptor,"b. 1377, Firenze, d. 1446, Firenze"
"BENVENUTI, Pietro",Italian,painter,"b. 1769, Arezzo, d. 1844, Firenze"
"GUÉRIN, Pierre-Narcisse",French,painter,"b. 1774, Paris, d. 1833, Roma"
"COSMA, Deodato di","Italian sculptor, Roman",school,active around 1300 in Rome
"OS, Pieter Gerardus van",Dutch painter and,etcher,"b. 1776, Den Haag, d. 1839, Den Haag"
"NORDENBERG, Bengt",Swedish,painter,"b. 1822, Blekinge, d. 1902, Düsseldorf"
"GANDOLFI, Mauro","Italian painter, Bolognese",school,"b. 1764, Bologna, d. 1834, Bologna"
"ROY, Peter van",Flemish,painter,"active 1683, d. ca. 1740"
"FEUCHTMAYR, Joseph Anton",German,sculptor,"b. 1696, Wessobrun, d. 1770, Wessobrun"
"CAVALLI, Gian Marco",Italian goldsmith and,sculptor,"b. ca. 1454, Viadana, d. after 1508"
"FINOGLIA, Paolo Domenico","Italian painter, Neapolitan",school,"b. ca. 1590, Napoli, d. 1645, Conversano"
"INNES, George",American,painter,"b. 1825, Newburgh, d. 1894, Bridge of Allan"
"FRANÇOIS, Guy",French,painter,"b. 1578/79, Le Puy, d. 1650, Le Puy"
MASTER of Badia a Isola,"Italian painter, Sienese",school,active c. 1290-1320
PIETRO ALEMANNO,Italian,painter,"b. ca. 1430, Göttweich, d. ca. 1498,  Ascoli Piceno"
"LISIEWSKA, Anna Rosina",German,painter,"b. 1716, Berlin, d. 1783, Dresden"
"PLATZER, Johann Nepomuk",Bohemian,sculptor,"b. 1745, Praha, d. after 1780"
"PILON, Germain",French,sculptor,"b. 1525/30, Paris, d. 1590, Paris"
"RITZOS, Andreas",Cretan icon,painter,"b. ca. 1422, Candia, d. ca. 1492, Crete"
"AACHEN, Hans von",German,painter,"b. 1552, Köln, d. 1615, Praha"
JACOBELLO DEL BONOMO,Italian,painter,doc. 1375-1385
"VAROTARI, Chiara",Italian,painter,"b. 1584, Padova, d. after 1663, Venezia"
"TAMM, Franz Werner von",German,painter,"b. 1658, Hamburg, d. 1724, Wien"
"WEST, Benjamin",American,painter,"b. 1738, Springfield, d. 1820, London"
"DONNER, Georg Raphael",Austrian,sculptor,"b. 1693, Esslingen, d. 1741, Vienna"
"PAULI, Hanna",Swedish,painter,"b. 1864, Stockholm, d. 1940, Solna"
"WILLAERTS, Isaac","Dutch painter, Utrecht",school,"b. ca. 1620, Utrecht,  d. 1693, Utrecht"
"COMINELLI, Andrea",Italian,architect,active 1643-1688
"BALDI, Lazzaro",Italian,painter,"b. 1623, Pistoia, d. 1703, Roma"
"ANCHER, Anna Kirstine",Danish,painter,"b. 1859, Skagen, d. 1935, Skagen"
"MAZZANTI, Ludovico",Italian,painter,"b. 1686, Roma, d. 1775, Orvieto"
"BEACH, Thomas",English,painter,"b. 1738, Milton Abbas, d. 1806, Dorchester"
"BERNINI, Pietro","Italian sculptor, Roman",school,"b. 1562, Sesto Fiorentino, d. 1629, Roma"
"DIETRICH, Christian Wilhelm Ernst",German,painter,"b. 1712, Weimar, d. 1774, Dresden"
"POCOCK, Nicholas",English,painter,"b. 1741, Bristol, d. 1821, Maidenhead"
"LIBERI, Marco",Italian,painter,"b. ca. 1640, Venezia, d. ca. 1685"
"OCAMPO, Andrés de",Spanish,sculptor,"b. ca. 1550, Villacarrillo, Jaén, d. 1623, Sevilla"
"BEVEREN, Mattheus van",Flemish,sculptor,"b. ca. 1630, Antwerpen, d. 1690, Bruxelles"
"DUNOUY,  Alexandre Hyacinthe",French,painter,"b. 1757, Paris, d. 1841, Paris"
"MANETTI, Rutilio","Italian painter, Sienese",school,"b. 1571, Siena, d. 1639, Siena"
"SCHNORR VON CAROLSFELD, Julius",German,painter,"b. 1794, Leipzig, d. 1872, Dresden"
MICHELE DA VERONA,"Italian painter, Veronese",school,"b. ca. 1470, Sommacampagna, d. ca. 1536, Verona"
"SALZILLO, Francisco",Spanish,sculptor,"b. 1707, Murcia, d. 1783, Murcia"
"CROSS, Henri-Edmond",French,painter,"b. 1856, Douai, d. 1910, Saint-Clair"
"BOUCHARDON, Edme",French,sculptor,"b. 1698, Chaumont, d. 1762, Paris"
"VIGNON, Victor Alfred Paul",French,painter,"b. 1847, Villers-Cottêrets, d. 1909, Meulan"
"ALTISSIMO, Cristofano dell'",Italian,painter,"b. ca. 1530, d. 1605, Firenze"
"CARPI, Girolamo da","Italian painter, Ferrarese",school,"b. 1501, Ferrara, d. 1556, Ferrara"
CATARINO,"Italian painter, Venetian",school,known 1362-1382 in Venice
"SURUGUE, Louis",French,engraver,"b. ca. 1686, Paris, d. 1762, Grand-Vaux"
"MOLLI, Clemente",Italian,sculptor,"b. ca. 1599, Bologna, d. 1664, Venezia"
"DILLIS, Johann Georg von",German,painter,"b. 1759, Grüngiebing, d. 1841, München"
ISAIA DA PISA,Italian,sculptor,active 14471464 in Rome
"LEROLLE, Henry",French,painter,"b. 1848, Paris, d. 1929, Paris"
"HORNY, Franz",German,painter,"b. 1798, Weimar, d. 1824, Olevano"
"HUGUET, Jaume",Catalan,painter,"b. ca. 1415, Valls, d. 1492, Barcelona"
"BUESEM, Jan Jansz.",Dutch,painter,"b. ca. 1600, Amsterdam, d. 1649, Amsterdam"
"VIDAL, Eugène",French,painter,"b. 1847, Paris, d. 1907, Cagnes"
"PILGRAM, Anton",Austrian,sculptor,"b. ca. 1460, Brünn, d. 1515, Wien"
"LE FORT DU PLESSY, Claude",French architect and,designer,"active 1707, Wien, d. 1757, Wien"
"RÉMOND, Jean-Charles-Joseph",French,painter,"b. 1795, Paris, d. 1875, Paris"
"STERN, Ludovico","Italian painter, Roman",school,"b. 1709, Roma, d. 1777, Roma"
"POULAKIS, Theodoros",Greek icon,painter,active 2nd half of 17th century
"MEYRING, Heinrich",German,sculptor,"b. ca. 1638, Westfalen, d. 1723, Venezia"
"VISCHER, Peter the Elder",German,sculptor,"b. ca. 1460, Nürnberg, d. 1529, Nürnberg"
"DE CORTE, Josse","Flemish sculptor, Venetian",school,"b. 1627, Ypres, d. 1679, Venezia"
NICCOLÒ DI TOMMASO,Italian,painter,active 1350-1380
"GIANI, Felice",Italian,painter,"b. 1758, San Sebastiano Curone, d. 1823, Roma"
"CLOUET, François",French,painter,"b. ca. 1510, Tours, d. 1572, Paris"
"ANTHONISZ, Cornelis",Netherlandish,painter,"b. ca. 1499, Amsterdam, d. ca. 1555, Amsterdam"
"JADOT, Jean-Nicolas",French,architect,"b. 1710, Luneville, d. 1761, VilleIssey"
"ZANDOMENEGHI, Luigi",Italian,sculptor,"b. 1778, Colognola, d. 1850, Venezia"
"NATUS, Johannes",Dutch,painter,active 1658-1662 in Middelburg
"PINEAU, Nicolas", French sculptor and,designer,"b. 1684, Paris, d. 1754, Paris"
"MONTORFANO, Giovanni Donato da",Italian,painter,"b. ca. 1460, Milano, d. ca. 1503, Milano"
"ESQUIVEL Y SUÁREZ DE URBINA, Antonio Maria",Spanish,painter,"b. 1806, Sevilla, d. 1857, Madrid"
"HERRING, John Frederick the Younger",English,painter,"b. ca. 1820, Doncaster, d. 1907, Doncaster"
"LANDSEER, Sir Edwin Henry",English,painter,"b. 1802, London, d. 1873, London"
"CORDIER, Nicolas",French,sculptor,"b. 1565, Saint-Mihiel, d. 1612, Roma"
"MARCELLINI, Carlo Andrea",Italian sculptor and,stuccoist,"b. ca. 1644, Firenze, d. 1713, Firenze"
"ALBERTINELLI, Mariotto","Italian painter, Florentine",school,"b. 1474, Firenze, d. 1515, Firenze"
"SOEST, Gerard","Dutch painter, active in",England,"b. ca. 1600, d. 1681, London"
"DUBREUIL, Toussaint",French,painter,"b. ca. 1561, Paris, d. 1602, Paris"
"MECKENEM, Israhel van the Younger",German,engraver,"b. 1440/45, Meckenheim, d. 1503, Bocholt"
"ORLEY, Bernaert van",Flemish,painter,"b. 1491/92, Bruxelles, d. 1542, Bruxelles"
SPERANDIO SAVELLI,Italian,medallist,"b. ca. 1425, Mantova, d. ca. 1504, Venezia"
"FERRARI, Gregorio de","Italian painter, Genoese",school,"b. 1647, Porto Maurizio, d. 1726, Genova"
"KNIJFF, Wouter",Dutch,painter,"b. ca. 1607, Wesel, d. after 1693, Bergen-op-Zoom"
"CEREZO, Mateo the Younger",Spanish,painter,"b. 1637, Burgos, d. 1666, Madrid"
"DELEMER, Jean",Flemish,sculptor,active mid 15th century in Tournai and Brussels
NICCOLÒ DI SER SOZZO,"Italian painter/illuminator, Sienese",school,"d. 1363, Siena"
"BROUWER, Gerloff",Dutch,silversmith,"b. ca. 1627, Sneek, d. 1676, Amsterdam"
"SEEMAN, Enoch",English,painter,"b. ca. 1694, Danzig, d. 1744, London"
"CARNEVALE, Fra",Italian,painter,"b. ca. 1425, Urbino, d. 1484, Urbino"
"HELMONT, Mattheus van",Flemish,painter,"b. 1623, Antwerpen, d. ca. 1679, Bruxelles"
"LOMBARDI, Giovanni Domenico","Italian painter, Lucchese",school,"b. 1682, Lucca, d. 1751, Lucca"
"SALY, Jacques-François-Joseph",French,sculptor,"b. 1717, Valenciennes, d. 1776, Paris"
"CASSANA, Niccolò",Italian,painter,"b. 1659, Venezia, d. 1714, London"
"GIOVANETTI, Matteo",Italian,painter,"b. ca. 1300, Viterbo, d. ca. 1368, Roma"
PIERO DI COSIMO,"Italian painter, Florentine",school,"b. 1462, Firenze, d. 1521, Firenze"
"BOSSUIT, Francis van",Flemish,sculptor,"b. 1635, Bruxelles, d. 1692, Amsterdam"
"PASCH, Lorentz the Younger",Swedish,painter,"b. ca. 1606, Antequera, Sevilla, d. ca. 1670, Madrid"
"PÉNICAUD, Nardon",French,enameller,"b. ca. 1470, Limoges, d. ca. 1542, Limoges"
"STANCHI, Giovanni",Italian,painter,"b. 1608, Roma, d. ca. 1673, Roma"
"VECCHI, Giovanni de'","Italian painter, Roman",school,"b. 1536, Borgo San Sepolcro, d. 1614, Roma"
"WATTEAU, Jean-Antoine",French,painter,"b. 1684, Valenciennes, d. 1721, Nogent-sur-Marne"
"RENESSE, Constantijn van",Dutch painter and,draftsman,"b. 1626, Eindhoven, d. 1680, Eindhoven"
"FONTANESI, Antonio",Italian,painter,"b. 1818, Reggio Emilia, d. 1882, Torino"
"RIMINALDI, Orazio",Italian,painter,"b. 1593, Pisa, d. 1630, Pisa"
"VEEN, Otto van",Flemish,painter,"b. 1556, Leiden, d. 1629, Bruxelles"
"DOUVEN, Frans Bartholomeus",German,painter,"b. 1688, Düsseldorf, d. after 1726, Düsseldorf"
"HEMESSEN, Jan Sanders van",Flemish,painter,"b. ca. 1500, Hemishem, d. 1556, Haarlem"
"ROLLOS, Peter the Elder",German graphic,artist,active 1619-1639
MASTER of Saint Cecilia,"Italian painter, Florentine",school,active 1300-1320 in Florence
"DELAVALLÉE, Henri",French,painter,"b. 1862, Reims, d. 1943, Pont-Aven"
"CSONTVÁRY KOSZTKA, Tivadar",Hungarian,painter,"b. 1853, Kisszeben, d. 1919, Budapest"
"ROMBOUTS, Theodor",Flemish,painter,"b. 1597, Antwerpen, d. 1637, Antwerpen"
"BERGHE, Christoffel van den",Flemish,painter,"b. ca. 1590, Antwerpen, d. after 1642, Middelburg"
"CALLOT, Jacques",French,engraver,"b. 1592, Nancy, d. 1635, Nancy"
"GEEL, Jacob van",Dutch,painter,"b. ca. 1585, Middelburg, d. after 1638, Dordrecht?"
"CONTI, Francesco",Italian,painter,"b. 1681, Firenze, d. 1760, Firenze"
MASTER of 1310,Italian,painter,active around 1310 in Pistoia
"VRANCX, Sebastian",Flemish,painter,"b. 1573, Antwerpen, d. 1647, Antwerpen"
"GALLE, Theodor",Flemish,engraver,"b. 1571, Antwerpen, d. 1633, Antwerpen"
"VERMEULEN, Andries",Dutch,painter,"b. 1763, Dordrecht, d. 1814, Amsterdam"
"GENTILESCHI, Artemisia",Italian,painter,"b. 1593, Roma, d. ca. 1653, Napoli"
"MILLAIS, Sir John Everett",English,painter,"b. 1829, Southampton, d. 1896, London"
"TROGER, Paul",Austrian,painter,"b. 1698, Zell unter Welsberg, d. 1762, Wien"
"CHARLET, Nicolas-Toussaint",French painter and,designer,"b. 1792, Paris, d. 1845, Paris"
"VELDE, Jan van de, II",Dutch,printmaker,"b. ca. 1593, Delft, d. 1641, Enkhuizen"
"GUNST, Pieter Stevens van",Dutch,printmaker,"b. ca. 1658, Amsterdam, d. 1732, Amsterdam"
